homo_sapiens,mus_musculus,positive_match_percent
ENSG00000065135,ENSMUSG00000000001,99.7175
ENSG00000093009,ENSMUSG00000000028,95.93639999999999
ENSG00000102098,ENSMUSG00000000037,51.04848441717651
ENSG00000091583,ENSMUSG00000000049,87.2464
ENSG00000141562,ENSMUSG00000000056,90.4139370327524
ENSG00000105971,ENSMUSG00000000058,95.06170000000002
ENSG00000067082,ENSMUSG00000000078,91.18135739490982
ENSG00000010803,ENSMUSG00000000085,89.5348714524723
ENSG00000178741,ENSMUSG00000000088,89.18920918553228
ENSG00000121068,ENSMUSG00000000093,96.27550246433285
ENSG00000121075,ENSMUSG00000000094,94.89981663230691
ENSG00000198464,ENSMUSG00000000103,26.676819996451385
ENSG00000064300,ENSMUSG00000000120,93.4426
ENSG00000108379,ENSMUSG00000000125,99.4366
ENSG00000143816,ENSMUSG00000000126,98.0822
ENSG00000151422,ENSMUSG00000000127,96.89966419792837
ENSG00000169180,ENSMUSG00000000131,98.8444
ENSG00000068323,ENSMUSG00000000134,97.29728457177156
ENSG00000168646,ENSMUSG00000000142,93.52350286825386
ENSG00000106009,ENSMUSG00000000148,79.26539060035829
ENSG00000146535,ENSMUSG00000000149,98.94736497262959
ENSG00000110628,ENSMUSG00000000154,86.0911330354385
ENSG00000150773,ENSMUSG00000000167,84.7619
ENSG00000150768,ENSMUSG00000000168,90.30254114296282
ENSG00000204370,ENSMUSG00000000171,88.6792
ENSG00000118972,ENSMUSG00000000182,80.0797
ENSG00000111241,ENSMUSG00000000183,97.1154
ENSG00000118971,ENSMUSG00000000184,97.5779
ENSG00000148358,ENSMUSG00000000194,90.66182547211122
ENSG00000102452,ENSMUSG00000000197,99.22344178518284
ENSG00000204347,ENSMUSG00000000202,94.9791
ENSG00000172123,ENSMUSG00000000204,57.11866236483306
ENSG00000180176,ENSMUSG00000000214,91.65830745627242
ENSG00000254647,ENSMUSG00000000215,85.4545
ENSG00000166828,ENSMUSG00000000216,92.33129515142163
ENSG00000102385,ENSMUSG00000000223,94.11766436656569
ENSG00000064201,ENSMUSG00000000244,67.01387901234386
ENSG00000106689,ENSMUSG00000000247,99.7537
ENSG00000137198,ENSMUSG00000000253,97.6812
ENSG00000145888,ENSMUSG00000000263,98.454723401014
ENSG00000080561,ENSMUSG00000000266,98.06898838763087
ENSG00000121060,ENSMUSG00000000275,82.7531711384344
ENSG00000153933,ENSMUSG00000000276,94.6065843438003
ENSG00000121064,ENSMUSG00000000278,90.9292
ENSG00000070444,ENSMUSG00000000282,95.48167932835047
ENSG00000160255,ENSMUSG00000000290,88.62896256575162
ENSG00000111906,ENSMUSG00000000295,90.81886809474764
ENSG00000111907,ENSMUSG00000000296,93.94672925325003
ENSG00000133027,ENSMUSG00000000301,85.1695
ENSG00000039068,ENSMUSG00000000303,88.33523668180405
ENSG00000179242,ENSMUSG00000000305,96.33679070409566
ENSG00000237289,ENSMUSG00000000308,98.44310891747276
ENSG00000161940,ENSMUSG00000000317,91.92026947123023
ENSG00000108839,ENSMUSG00000000320,91.2519
ENSG00000093010,ENSMUSG00000000326,88.80597113359927
ENSG00000137996,ENSMUSG00000000339,95.6284
ENSG00000137992,ENSMUSG00000000340,92.94609999999999
ENSG00000183283,ENSMUSG00000000346,99.40480000000001
ENSG00000232119,ENSMUSG00000000355,98.895
ENSG00000088320,ENSMUSG00000000359,92.43698891886116
ENSG00000132972,ENSMUSG00000000365,83.66532900370036
ENSG00000160218,ENSMUSG00000000374,94.71593503396207
ENSG00000136280,ENSMUSG00000000378,95.20626447802546
ENSG00000136270,ENSMUSG00000000384,85.32909636624764
ENSG00000184012,ENSMUSG00000000385,86.76174013215449
ENSG00000078098,ENSMUSG00000000392,94.41155915321848
ENSG00000115263,ENSMUSG00000000394,93.8889
