mus_musculus,homo_sapiens,positive_match_percent
ENSMUSG00000067377,ENSG00000000003,95.10200000000002
ENSMUSG00000031250,ENSG00000000005,98.1073
ENSMUSG00000078919,ENSG00000000419,94.61539999999998
ENSMUSG00000026584,ENSG00000000457,85.73436982057137
ENSMUSG00000041406,ENSG00000000460,78.65167960440601
ENSMUSG00000028874,ENSG00000000938,90.05734568254188
ENSMUSG00000019810,ENSG00000001036,88.14656489414381
ENSMUSG00000032350,ENSG00000001084,97.3312
ENSMUSG00000023994,ENSG00000001167,99.71179999999998
ENSMUSG00000028801,ENSG00000001460,78.8148235373297
ENSMUSG00000028803,ENSG00000001461,85.43687607220174
ENSMUSG00000057421,ENSG00000001497,80.39730232147706
ENSMUSG00000023961,ENSG00000001561,91.08910801118891
ENSMUSG00000034684,ENSG00000001617,97.4522
ENSMUSG00000041301,ENSG00000001626,88.76863751036402
ENSMUSG00000040351,ENSG00000001629,95.95212515261466
ENSMUSG00000001467,ENSG00000001630,96.0474233467082
ENSMUSG00000000600,ENSG00000001631,96.4674
ENSMUSG00000030166,ENSG00000002016,76.61101358843881
ENSMUSG00000024959,ENSG00000002330,74.19359063475532
ENSMUSG00000039682,ENSG00000002549,96.7245
ENSMUSG00000051022,ENSG00000002587,91.5857631905806
ENSMUSG00000029811,ENSG00000002726,88.25482859823377
ENSMUSG00000029671,ENSG00000002745,94.10152288513386
ENSMUSG00000021301,ENSG00000002746,92.21181420739309
ENSMUSG00000029554,ENSG00000002822,90.45295612085835
ENSMUSG00000038366,ENSG00000002834,97.70992650413692
ENSMUSG00000020876,ENSG00000002919,87.61555065002509
ENSMUSG00000023367,ENSG00000002933,69.7285750027239
ENSMUSG00000007458,ENSG00000003056,95.85588885382478
ENSMUSG00000036782,ENSG00000003096,95.12759625217048
ENSMUSG00000063415,ENSG00000003137,98.4375
ENSMUSG00000062995,ENSG00000003147,93.4443703233601
ENSMUSG00000031970,ENSG00000003249,83.01886604960242
ENSMUSG00000026024,ENSG00000003393,95.82828478679642
ENSMUSG00000026031,ENSG00000003402,78.42324984762435
ENSMUSG00000027082,ENSG00000003436,72.13112458371398
ENSMUSG00000024082,ENSG00000003509,90.07982231847939
ENSMUSG00000032580,ENSG00000003756,98.5276
ENSMUSG00000039431,ENSG00000003987,97.72729999999999
ENSMUSG00000031596,ENSG00000003989,93.69367942356617
ENSMUSG00000020440,ENSG00000004059,100.0
ENSMUSG00000050132,ENSG00000004139,92.74193187072375
ENSMUSG00000001100,ENSG00000004142,95.6522
ENSMUSG00000030123,ENSG00000004399,94.3896
ENSMUSG00000028792,ENSG00000004455,97.48950000000002
ENSMUSG00000029084,ENSG00000004468,71.8542988553031
ENSMUSG00000030357,ENSG00000004478,94.87458709055207
ENSMUSG00000036940,ENSG00000004487,98.45626042736619
ENSMUSG00000032582,ENSG00000004534,93.5296845370183
ENSMUSG00000020785,ENSG00000004660,95.8416
ENSMUSG00000030243,ENSG00000004700,92.6753949141871
ENSMUSG00000001376,ENSG00000004766,98.444
ENSMUSG00000036854,ENSG00000004776,91.30432720187804
ENSMUSG00000036882,ENSG00000004777,92.74692713155814
ENSMUSG00000030869,ENSG00000004779,89.1026
ENSMUSG00000019577,ENSG00000004799,96.96235688446565
ENSMUSG00000019834,ENSG00000004809,63.51246450161818
ENSMUSG00000010044,ENSG00000004838,93.6364
ENSMUSG00000072791,ENSG00000004846,87.26114464607407
ENSMUSG00000035277,ENSG00000004848,96.44759575605069
ENSMUSG00000015112,ENSG00000004864,97.11324676722961
ENSMUSG00000029534,ENSG00000004866,99.6534
ENSMUSG00000020687,ENSG00000004897,98.36859034780296
ENSMUSG00000006574,ENSG00000004939,88.58692135562343
ENSMUSG00000023964,ENSG00000004948,84.40909502814941
ENSMUSG00000031352,ENSG00000004961,91.11110099312856
ENSMUSG00000020888,ENSG00000004975,97.1467
ENSMUSG00000045027,ENSG00000005001,83.01282588910706
ENSMUSG00000058301,ENSG00000005007,98.66194332526037
ENSMUSG00000059182,ENSG00000005020,94.56066615623696
ENSMUSG00000016319,ENSG00000005022,96.30869999999999
ENSMUSG00000027994,ENSG00000005059,84.5238
ENSMUSG00000038210,ENSG00000005073,97.1246
ENSMUSG00000039771,ENSG00000005075,100.0
ENSMUSG00000040620,ENSG00000005100,96.93952200250662
ENSMUSG00000001493,ENSG00000005102,87.96845780765453
ENSMUSG00000032625,ENSG00000005108,94.88344760471944
ENSMUSG00000020697,ENSG00000005156,91.55555624435802
ENSMUSG00000022466,ENSG00000005175,87.99999709504127
ENSMUSG00000030935,ENSG00000005187,89.73513386364624
ENSMUSG00000030924,ENSG00000005189,79.45209229131245
ENSMUSG00000031781,ENSG00000005194,90.82123048379079
ENSMUSG00000035206,ENSG00000005206,84.78630927546435
ENSMUSG00000036002,ENSG00000005238,92.93679999999999
ENSMUSG00000018672,ENSG00000005243,93.97585667005357
ENSMUSG00000002997,ENSG00000005249,98.32133449384115
ENSMUSG00000031358,ENSG00000005302,94.07267427457414
ENSMUSG00000022521,ENSG00000005339,97.23529592730212
ENSMUSG00000034156,ENSG00000005379,87.2805799550534
ENSMUSG00000009350,ENSG00000005381,90.22555913770007
ENSMUSG00000002588,ENSG00000005421,92.3944
ENSMUSG00000035125,ENSG00000005436,81.54841159008893
ENSMUSG00000030032,ENSG00000005448,93.1138
ENSMUSG00000003623,ENSG00000005469,93.13729999999998
ENSMUSG00000042476,ENSG00000005471,95.89041789623691
ENSMUSG00000029004,ENSG00000005483,93.50507650235411
ENSMUSG00000039917,ENSG00000005486,94.34478454715814
ENSMUSG00000024176,ENSG00000005513,84.61537932615462
ENSMUSG00000035941,ENSG00000005700,92.1257374150007
ENSMUSG00000033004,ENSG00000005810,97.77165880191355
ENSMUSG00000022124,ENSG00000005812,98.5981
ENSMUSG00000030830,ENSG00000005844,79.46011401105018
ENSMUSG00000038967,ENSG00000005882,98.7715
ENSMUSG00000001507,ENSG00000005884,91.17508073232402
ENSMUSG00000079509,ENSG00000005889,97.75563194973249
ENSMUSG00000016534,ENSG00000005893,74.33417738158496
ENSMUSG00000034664,ENSG00000005961,87.74131441879919
ENSMUSG00000042607,ENSG00000005981,97.18309999999998
ENSMUSG00000033917,ENSG00000006007,94.56190000000001
ENSMUSG00000058833,ENSG00000006015,70.81079644849738
ENSMUSG00000007888,ENSG00000006016,95.8677473770183
ENSMUSG00000038534,ENSG00000006025,95.53305275886362
ENSMUSG00000035413,ENSG00000006042,99.115
ENSMUSG00000018554,ENSG00000006047,92.11619385837696
ENSMUSG00000057723,ENSG00000006059,94.5545
ENSMUSG00000020941,ENSG00000006062,89.78292095912893
ENSMUSG00000040136,ENSG00000006071,96.81287762896336
ENSMUSG00000066189,ENSG00000006116,99.6825
ENSMUSG00000024736,ENSG00000006118,91.91574824759047
ENSMUSG00000035152,ENSG00000006125,99.89479999999999
ENSMUSG00000061762,ENSG00000006128,97.29729969439484
ENSMUSG00000022529,ENSG00000006194,89.06821847215603
ENSMUSG00000031778,ENSG00000006210,72.22223934483203
ENSMUSG00000020867,ENSG00000006282,91.08037518464785
ENSMUSG00000020866,ENSG00000006283,95.8806322453841
ENSMUSG00000029754,ENSG00000006377,98.3050813950011
ENSMUSG00000042724,ENSG00000006432,96.55173190667624
ENSMUSG00000008859,ENSG00000006451,100.0
ENSMUSG00000038859,ENSG00000006453,94.0487941476625
ENSMUSG00000042599,ENSG00000006459,94.63052321031634
ENSMUSG00000004151,ENSG00000006468,98.7421
ENSMUSG00000029916,ENSG00000006530,95.37366587920373
ENSMUSG00000024885,ENSG00000006534,91.2393
ENSMUSG00000034919,ENSG00000006555,90.76517975260356
ENSMUSG00000039987,ENSG00000006576,93.47260526172577
ENSMUSG00000034066,ENSG00000006607,87.30534751287686
